"Triplet 1","Triplet 2","Label"
"Barack Obama,birthplace,Honolulu","Barack Obama,born in,Honolulu","1"
"Microsoft,founded by,Bill Gates","Microsoft,CEO,Satya Nadella","0"
"Amazon,founded in,1994","Amazon,founded by,Jeff Bezos","0"
"Earth,orbits,Sun","Moon,orbits,Earth","0"
"Eiffel Tower,located in,Paris","Statue of Liberty,located in,New York","0"
"Albert Einstein,field,Physics","Isaac Newton,field,Physics","0"
"The Beatles,genre,Rock","Elvis Presley,genre,Rock","0"
"World War II,started in,1939","World War I,ended in,1918","0"
"Shakespeare,wrote,Hamlet","Shakespeare,wrote,Macbeth","0"
"Great Wall of China,located in,China","Taj Mahal,located in,India","0"
"Jupiter,planet in,Solar System","Mars,planet in,Solar System","0"
"Photosynthesis,occurs in,Plants","Respiration,occurs in,Animals","0"
"Mount Everest,highest mountain,Earth","K2,second highest mountain,Earth","0"
"Leonardo da Vinci,painted,Mona Lisa","Leonardo da Vinci,painted,The Last Supper","0"
"Nile River,longest river,Africa","Amazon River,largest by discharge,South America","0"
"Gold,symbol,Au","Silver,symbol,Ag","0"
"Python,programming language,Guido van Rossum","Java,programming language,James Gosling","0"
"Water,chemical formula,H2O","Carbon Dioxide,chemical formula,CO2","0"
"Thomas Edison,invented,Lightbulb","Alexander Graham Bell,invented,Telephone","0"
"DNA,discovered by,Watson and Crick","Penicillin,discovered by,Alexander Fleming","0"
"Apple,co-founded by,Steve Jobs","Apple,co-founded by,Steve Wozniak","1"
"Facebook,founded by,Mark Zuckerberg","Facebook,renamed to,Meta","1"
"Google,founded in,1998","Google,founders,Larry Page and Sergey Brin","1"
"Twitter,founded in,2006","Twitter,co-founder,Jack Dorsey","1"
"Tesla,CEO,Elon Musk","SpaceX,CEO,Elon Musk","1"
"Light travels,fastest in,Vacuum","Sound travels,fastest in,Steel","0"
"Venus,closest planet to,Earth","Mars,closest planet to,Earth","0"
"Human heart,has,4 chambers","Human lungs,has,2 lobes","0"
"Rome,capital of,Italy","Paris,capital of,France","0"
"Oxygen,atomic number,8","Carbon,atomic number,6","0"
"H2O,common name,Water","NaCl,common name,Salt","0"
"COVID-19,caused by,SARS-CoV-2","HIV,caused by,Human Immunodeficiency Virus","0"
"Bitcoin,created by,Satoshi Nakamoto","Ethereum,created by,Vitalik Buterin","0"
"Pyramids of Giza,in,Egypt","Machu Picchu,in,Peru","0"
"United Nations,established in,1945","League of Nations,dissolved in,1946","0"
"Beethoven,composed,Symphony No. 5","Mozart,composed,Symphony No. 40","0"
"Harry Potter,written by,J.K. Rowling","Lord of the Rings,written by,J.R.R. Tolkien","0"
"Pluto,reclassified as,Dwarf Planet","Ceres,classified as,Dwarf Planet","1"
"Neptune,discovered in,1846","Uranus,discovered in,1781","0"
"Mona Lisa,painted by,Leonardo da Vinci","Starry Night,painted by,Vincent van Gogh","0"
"Titanic,sank in,1912","Titanic,built by,Harland and Wolff","0"
"Olympics,held every,4 years","FIFA World Cup,held every,4 years","0"
"Chlorophyll,found in,Plants","Hemoglobin,found in,Animals","0"
"Great Barrier Reef,located in,Australia","Amazon Rainforest,located in,Brazil","0"
"Mars,known as,Red Planet","Venus,known as,Morning Star","0"
"Michael Phelps,sport,Swimming","Usain Bolt,sport,Sprinting","0"
"Isaac Newton,discovered,Gravity","Albert Einstein,theory of,Relativity","0"
"Amazon,CEO,Jeff Bezos","Blue Origin,founder,Jeff Bezos","1"
"LinkedIn,acquired by,Microsoft","WhatsApp,acquired by,Facebook","1"
"New York,located in,USA","Toronto,located in,Canada","0"
"Machu Picchu,built by,Incas","Colosseum,built by,Romans","0"
"French Revolution,started in,1789","Russian Revolution,started in,1917","0"
"Albert Einstein,born in,Germany","Nikola Tesla,born in,Croatia","0"
"Mount Kilimanjaro,located in,Tanzania","Mount Fuji,located in,Japan","0"
"Photosynthesis,produces,Oxygen","Respiration,consumes,Oxygen","0"
"English Channel,separates,England and France","Berlin Wall,separated,East and West Berlin","0"
"Sun,type,Star","Moon,type,Satellite","0"
"Sahara,largest desert,Africa","Gobi,largest desert,Asia","0"
"Titanic,movie director,James Cameron","Avatar,movie director,James Cameron","1"
"Mona Lisa,in,Louvre Museum","The Scream,in,National Gallery of Norway","0"
"Harry Potter,genre,Fantasy","Game of Thrones,genre,Fantasy","0"
"Charles Darwin,theory of,Evolution","Gregor Mendel,father of,Genetics","0"
"Bitcoin,type,Cryptocurrency","PayPal,type,Payment System","0"
"Statue of Liberty,gift from,France","Eiffel Tower,designed by,Gustave Eiffel","0"
"Black Hole,first image,2019","Hubble Space Telescope,launched,1990","0"
"Leonardo DiCaprio,acted in,Titanic","Brad Pitt,acted in,Fight Club","0"
"Pythagoras,known for,Pythagorean Theorem","Euclid,known for,Euclidean Geometry","0"
"Sistine Chapel,painted by,Michelangelo","Guernica,painted by,Pablo Picasso","0"
"Grand Canyon,located in,Arizona","Yellowstone,located in,Wyoming","0"
"Pacific Ocean,largest ocean,Earth","Atlantic Ocean,second largest ocean,Earth","0"
"Himalayas,formed by,Tectonic Plates","Rocky Mountains,formed by,Tectonic Plates","0"
"Jane Austen,wrote,Pride and Prejudice","Charlotte Bronte,wrote,Jane Eyre","0"
"Vincent van Gogh,style,Post-Impressionism","Claude Monet,style,Impressionism","0"
"Jupiter,largest moon,Ganymede","Saturn,largest moon,Titan","0"
"Thomas Edison,developed,Phonograph","Nikola Tesla,developed,AC Electricity","0"
"Marie Curie,discovered,Radium","Dmitri Mendeleev,created,Periodic Table","0"
"George Washington,first president,USA","Abraham Lincoln,president during,Civil War","0"
"Angkor Wat,located in,Cambodia","Borobudur,located in,Indonesia","0"
"Alexander the Great,empire,Macedonia","Genghis Khan,empire,Mongolia","0"
"Lightning,produces,Ozone","Photosynthesis,consumes,Carbon Dioxide","0"
"Andes,longest mountain range,South America","Rockies,mountain range,North America","0"
"Napoleon Bonaparte,exiled to,Elba","Nelson Mandela,imprisoned in,Robben Island","0"
"Periodic Table,created by,Dmitri Mendeleev","Theory of Relativity,created by,Albert Einstein","0"
"William Shakespeare,born in,1564","Leonardo da Vinci,born in,1452","0"
"Sydney Opera House,located in,Australia","Burj Khalifa,located in,Dubai","0"
"Los Angeles,known for,Hollywood","New York,known for,Broadway","0"
"Antarctica,largest desert,Cold Desert","Sahara,largest hot desert,Africa","0"
"Kilimanjaro,highest peak,Africa","Everest,highest peak,World","0"
"Galileo Galilei,improved,Telescope","Johannes Gutenberg,invented,Printing Press","0"
"Big Bang Theory,explains,Universe's origin","Theory of Evolution,explains,Species development","0"
"Human body,normal temperature,98.6°F","Water,boils at,100°C","0"
"Pluto,discovered in,1930","Neptune,discovered in,1846","0"
"Microsoft,founded in,1975","Apple,founded in,1976","0"
"Alzheimer's disease,affects,Brain","Diabetes,affects,Pancreas","0"
"Vincent van Gogh,cut off,Ear","Pablo Picasso,pioneer of,Cubism","0"
"World War II,ended in,1945","Korean War,began in,1950","0"
"Mozart,born in,Salzburg","Beethoven,born in,Bonn","0"
"Titanic,sank in,Atlantic Ocean","Hindenburg,disaster in,New Jersey","0"
"Amazon River,flows into,Atlantic Ocean","Nile River,flows into,Mediterranean Sea","0"
"Mount Vesuvius,erupted in,79 AD","Krakatoa,erupted in,1883","0"
"Thomas Jefferson,wrote,Declaration of Independence","Abraham Lincoln,wrote,Gettysburg Address","0"
"Great Depression,started in,1929","Dot-com Bubble,burst in,2000","0"
"Martin Luther King Jr.,speech,I Have a Dream","John F. Kennedy,speech,Ask Not","0"
"Black Holes,center,Galaxies","Supernovae,end,Stars","0"
"Mahatma Gandhi,led,Indian Independence","Nelson Mandela,fought for,Anti-Apartheid","0"
"Niagara Falls,located between,USA and Canada","Victoria Falls,located in,Zambia and Zimbabwe","0"
"Charles Dickens,wrote,A Tale of Two Cities","Jane Austen,wrote,Pride and Prejudice","0"
"Hurricanes,occur in,Atlantic","Typhoons,occur in,Pacific","0"
"Albert Einstein,awarded,Nobel Prize in Physics","Marie Curie,awarded,Nobel Prize in Chemistry","0"
"London,hosted Olympics,2012","Beijing,hosted Olympics,2008","0"
"Leonardo da Vinci,interested in,Anatomy","Galileo Galilei,interested in,Astronomy","0"
"Rome,founded in,753 BC","Athens,founded around,1400 BC","0"
"Julius Caesar,assassinated in,44 BC","Abraham Lincoln,assassinated in,1865","0"
"Amazon,largest rainforest,Earth","Congo,second largest rainforest,Earth","0"
"Pablo Picasso,Spanish painter,20th century","Frida Kahlo,Mexican painter,20th century","0"
"Sigmund Freud,father of,Psychoanalysis","Carl Jung,founder of,Analytical Psychology","0"
"Artificial Intelligence,field of,Computer Science","Quantum Mechanics,field of,Physics","0"
"Bitcoin,based on,Blockchain technology","Internet,based on,TCP/IP","0"
"Rosetta Stone,discovered in,Egypt","Dead Sea Scrolls,discovered in,Israel","0"
"Mayans,known for,Calendar","Egyptians,known for,Hieroglyphics","0"
"Berlin Wall,fell in,1989","Soviet Union,dissolved in,1991","0"
"Angela Merkel,Chancellor of,Germany","Margaret Thatcher,Prime Minister of,UK","0"
"First Industrial Revolution,started in,Britain","French Revolution,started in,France","0"
"New Horizons,mission to,Pluto","Voyager 1,mission beyond,Solar System","0"
"Great Barrier Reef,threatened by,Climate Change","Amazon Rainforest,threatened by,Deforestation","0"
"Pyramids,tombs of,Egyptian Pharaohs","Sphinx,associated with,Ancient Egypt","0"
"Da Vinci Code,written by,Dan Brown","Harry Potter,written by,J.K. Rowling","0"
"Steve Jobs,CEO of,Apple","Mark Zuckerberg,CEO of,Facebook","0"
"Spanish Flu,pandemic in,1918","COVID-19,pandemic in,2020","0"
"Quantum Computing,field of,Computer Science","Classical Mechanics,field of,Physics","0"
"Gross Domestic Product,measures,Economic Health","Consumer Price Index,measures,Inflation","0"
